pais,nodo,anio,anio_esp,candidato,id_candidato,Sexo,lema,bloque,votos,exito,Activo,estrategia,Presidencia (13),Vicepresidencia (12),Secretaría o ministerios (11),Gobernador (10),Militar (9),Ministro de la Suprema Corte o Juez (8),Legislatura (7),Alcalde (6),Partidos Políticos (5),Empresas (4),Sindicatos o sociedad civil (3),Organizaciones religiosas (2),Movimientos revolucionarios o armados (1),presidencia,vicepresidencia,ministerio,gobernatura,ejercito,corte_suprema,legislatura,alcaldia,partido_politico,empresas,soc_civil,mov_rev,org_relig,kb,intra,para,sub,exa,ana
ARG,210,2023,,Javier Milei,JMilei,hombre,Libertad por siempre,Libertad Avanza,30,Perdedor,si,Alterna,,,,,,,2021_ Diputado por Bs As en la Asamblea Nacional,,2019_ Presidente del Partido Libertario,Es miembro del B20_ del Grupo de Política Económica de la Cámara de Comercio Internacional y del Foro Económico Mundial. Desde 2012_ lidera la división de Estudios Económicos de la Fundación Acordar_ ​en el que a través de ella llegó a asesorar a Daniel Scioli. Además_ fue asesor del militar Antonio Domingo Bussi en la Cámara de Diputados de la Nación_54​ con el cual trabajó de forma temporal para colaborar en algunos proyectos ligados al limón y azúcar. Hasta su renuncia el 9 de diciembre de 2021_ fue asesor de Eduardo Eurnekian en la Corporación América_ un holding que_ entre otras empresas_ es dueña de Aeropuertos Argentina 2000 que tiene a cargo 35 aeropuertos de Argentina,,,,0,0,0,0,0,0,56,0,95,32,0,0,0,183,0,56,95,32,0
ARG,211,2023,,Patricia Bulrich,PBulrich,mujer,La fuerza del cambio,Juntos por el cambio,16.99,Perdedor,si,Recupera,,,2015-19_ Ministra de Seguridad de la Nación de Mauricio Macri_ 2001_ Ministra de Seguridad Social_ 2000_ Ministra de Trabajo_ Empleo y Formación de RRHH con De la Rua_ 1999_ Secretaria de Política Criminal y Asuntos Penitenciarios con De la Rua,1991_ trabajó con Eduardo Duhalde cuando éste era gobernador de Bs As,,,,1993-97_ 2007-15_ Diputada federal por Bs As,2020-2023_ Presidente de Propuesta Republicana (PRO)_ 2003_ Fundadora del Partido Unión por la Libertad,,,,En su juventud perteneció a la Columna Norte de los Montoneros_ grupo guerrillero de la izquierda peronista. Tras el golpe militar salió de argentina y vivió en España donde militó en la Juventud Peronista de España. En 1982_ trabajó en el movimiiento para la redemocratización de Argentina durante la dictadura_ donde fue presa.,0,0,429,80,0,0,112,0,100,0,0,74,0,795,429,192,100,0,74
ARG,212,2023,,Horacio Antonio Rodríguez Larreta,HLarreta,hombre,El cambio de nuestras vidas,Juntos por el cambio,11.3,Perdedor,no,Recupera,,,2001_ Director General Impositivo durante los gobiernos de De la Rua_ Rodríguez Saa y Eduardo Duhalde_ 1999_ Interventor del Programa de Atención Médica Integral durante el gobierno de De la Rua_ 1998_ Subsecretario de Políticas Sociales del gobierno de Menem_ 1995-98_ Gerente General del a Administración Nacional de la Seguridad Social a cargo del cantante y exgobernador de Tucumán Palito Ortega_ y posteriormente como director del Fondo Nacional de Capital Social (FONCAP)__ Su padre Horacio Rodríguez Larreta Leloir se desempeñó como funcionario público en el Ministerio de Relaciones Exteriores durante la presidencia de Arturo Frondizi_ subsecretario de Privatizaciones y jefe de asesores del ministro de Defensa Oscar Camilión durante la presidencia de Carlos Menem_ y presidente del Racing Club de Avellaneda entre 1977 y 1978. Es bisnieto de Carlos Rodríguez Larreta_ canciller y ministro del Interior de los presidentes Manuel Quintana y José Figueroa Alcorta_ ,2015-21_ x3 Jefe de Gobierno de Buenos Aires_ 2007-2015_ Jefe de gabinete de Ministros del Jefe de Gobierno de Bs As_ Mauricio Macri_ 2000_ Presidente del Intstituto de Previsión Social de Bs As durante el gobierno de Roberto Ruckauf,,,,,2005_ vicepresidente del partido Unidos por el Cambio,Fundador del Think tank Grupo Sophia para la formación de liderazgos de derechas y que apoyar la candidatura de Palito Ortega. De cara a las elecciones presidenciales de 2003_ la Fundación Sophía fue contratada como consultora por la Fundación Creer y Crecer_ propiedad del empresario Francisco de Narváez_79​ quienes apoyaban la precandidatura presidencial del presidente del Club Atlético Boca Juniors_ el ingeniero Mauricio Macri_ a quien conocía desde su juventud,,,,0,0,638,470,0,0,0,0,45,40,0,0,0,1193,638,470,45,40,0
ARG,213,2023,,Sergio Massa,SMassa,hombre,Celeste y blanca,Unidos por la Patria,21.41,Perdedor,si,Mantiene,,,2008-09_ Jefe de Gabinete de Ministros de Cristina Fernández_ 2002-07_ Director ejecutivo de la Administración Nacional de la Seguridad Social_ subsecretario del Ministerio del Interior y Asesor del Ministro de Seguridad Social Palito Ortega (el cantante)_ 2022_ Ministro de Economía de Alberto Fernández,,,,2013-17_ 99-02_ 2017-2022 Diputado por Bs AS_ 2017-22 Presidente de la Cámara de Diputados,2007_09-13_ Intendente de Tigre,Presidente de la juventud liberal de Bs As de la UCEDE,,,,,0,0,484,0,0,0,238,120,85,0,0,0,0,927,484,238,205,0,0
ARG,214,2023,,Juan Grabois,JGrabois,hombre,Justa y soberana,Unidos por la Patria,5.87,Perdedor,no,Mantiene,,,,,,,,,El 29 de octubre de 2018 lanza el Frente Patria Grande que está conformado por sectores sociales y políticos que no participaron del gobierno kirchnerista pero que se referencian en la ex presidenta Cristina Fernández de Kirchner. ,,fundador del Movimiento de Trabajadores Excluidos (MTE)_ de la Confederación de Trabajadores de la Economía Popular (CTEP) -actual UTEP- y del Frente Patria Grande. 2019 Grabois impulsa la creación de la Misión de Solidaridad Internacional y Derechos Humanos para denunciar la violencia represiva que se desarrolla en el país. La Delegación viajó a Bolivia los días 28_ 29 y 30 de noviembre de 2019 y recibió amenazas del ministro de facto Arturo Murillo,Fue coordinador del Encuentro Mundial de Movimientos Populares impulsado por el Papa Francisco desde el 2014. ,,0,0,0,0,0,0,0,0,50,0,60,0,9,119,0,0,50,60,9
ARG,215,2023,,Juan Schiaretti,JSchiaretti,hombre,Hacemos por nuestro país,Hacemos por nuestro país,3.83,Perdedor,si,Alterna,,,1993-95_ Interventor federal en la Provincia de Santiago del Estero del gobierno de Carlos Menem_ 1991-93 Secretario de Inustria y Comercio_ dependiente del ministerio de Economía durante el gobierno de Menem_ 1990 subsecretario de Integración Latinoamericana cuando Domingo Cavalo era Ministro de Relaciones Exteriores y Carlos Menem presidente,2007-11_2015-2023 (x3) Gobernador de la Provincia de Córdoba_ 2003-07_ Vicegobernador de la provincia de Córdoba_ Ministro de Producción y Finanzas_ Ministro de Producción del gobierno de José Manuel de Sota,Subteniente de Reserva del Ejército Argentino,,1993_2001_2015 Diputado por Córdoba,,1973_Militó en los sectores radicalizados del peronismo de izquierda_ siendo uno de los dirigentes universitarios del partido durante el Cordobazo. ,1975 Allí es designado segundo jefe en Asesoría Económica Financiera del Banco Provincia de Neuquén. 1980_ Vicedirector administrativo de Fiat Automoveis en Belo Horizonte_ 1985_ Gerente Financiero del Grupo Industrial Astori,,,,0,0,275,570,54,0,168,0,75,68,0,0,0,1210,275,792,75,68,0
ARG,216,2023,,Myriam Bregman,MBregman,mujer,Unir y fortalecer la izquierda,Frente de Izquierda,1.87,Perdedor,si,Alterna,,,,,,,2015-16_ 2017_ 2021 (x3) Diputada federal por Bs As,,Dirigente del Partido de los Trabajadores Socialistas y fue candidata a la vicepresidencia don Del Caño en las elecciones pasadas,,Fundadora del Centro de Profesionales por los Derechos Humanos y del Colectivo Justicia Ya! Ha participado como abogada en diversos casos de defensa laboral a favor de los obreros,,,0,0,0,0,0,0,168,0,95,0,90,0,0,353,0,168,95,90,0
ARG,217,2023,,Gabriel Solano,GSolano,hombre,Unidad de luchadores y la izquierda,Frente de Izquierda,0.79,Perdedor,no,Alterna,,,,,,,2017_2021 (x2)_ Legislador por Bs As,,Dirigente del Partido Obrero_ 1990 Dirigente nacional de la Unión de las Juventudes por el Socialismo,,dirigente de la Federación Universitaria de Buenos Aires ,,,0,0,0,0,0,0,112,0,95,0,40,0,0,247,0,112,95,40,0
ARG,218,2023,,Guillermo Moreno,GMoreno,hombre,Tierra_techo_trabajo,Principios y Valores,0.77,Perdedor,no,Alterna,,,2013-15_ Agregado económico en la bajada de Italia_ 2006-13 Secretario de Comercio Interior dependiente del Ministerio de Economía de Felisa Milegni y Roberto Lavagna durante los gobiernos de Nestor Kirchner y Cristina Fernández_ 2003-06_ Secretario de Comunicación durante el gobierno de Kirchner,1990-93_ Secretario de Producción de Bs As_ durante los gobiernos de Carlos Grosso y Saul Bauer,,,,,Dirirgente del partido Principios y Valores_ 1970 militante del Frente Estudiantil Nacional que luego pasó a Guardia de Hierro_ una organización de derecha contraria a los Montoneros_ En dicha organización compartió militancia con José Luis Manzano_ José Octavio Bordón_ José Manuel de la Sota y con el futuro papa Jorge Bergoglio. 1982_ se unió a Intransigencia y Movilización_ una agrupación justicialista heterogénea liderada por el catamarqueño Vicente Saadi ,1982_ dueño de una ferretería llamada Distribuidora América,,,,0,0,385,180,0,0,0,0,100,80,0,0,0,745,385,180,100,80,0
ARG,219,2023,,Jesús Escobar,JEscobar,hombre,Azul y rojo,Libres,0.65,Perdedor,no,Alterna,,,,,,,Diputado Constituyente_ convencional y provincial por Neuquen,,,,presidente del Centro de Estudiantes del CPEM 6 de Cutral Co y luego como presidente del Centro Estudiantes de la Facultad de Ingeniería de la Universidad Nacional del Comahue. Presidente del Consejo de la Niñes y la Adolescencia,,,0,0,0,0,0,0,161,0,0,0,72,0,0,233,0,161,0,72,0
