pais;nodo;anio;anio_esp;anio_nacimiento;edad_contienda;anios_adultez;ratio.kb_edad;ratio.edad_in.stat;ratio.edad_out.stat;candidato;id_candidato;partidos;votos;exito;estrategia;presidencia;vicepresidencia;ministerio;gobernatura;ejercito;corte_suprema;legislatura;alcaldia;partido_politico;empresas;soc_civil;mov_rev;org_relig;kb;intra;para;sub;exa;ana;in_state;out_state
ARG;1;1826;;1780;46;28;17.68;15.54;2.14;Bernardino Rivadavia;BRivadavia;Unitario;92.11;Ganador;Restaura;0;0;110;280;0;0;0;0;45;0;0;60;0;495;110;280;45;0;60;0.88;0.12
ARG;2;1827;;1785;42;24;38.88;37.21;1.67;Vicente López y Planes;VLopezP;Unitario;0;De facto;Interino;0;0;330;200;135;0;168;60;0;0;0;40;0;933;330;503;60;0;40;0.96;0.04
ARG;3;1854;;1801;53;35;17.86;17.86;0.00;Justo José de Urquiza;JUrquiza;Federal;88.3;Ganador;Alterna;130;0;110;200;90;0;0;0;95;0;0;0;0;625;240;290;95;0;0;1;0
ARG;4;1854;;1795;59;41;14.41;5.73;8.68;Mariano Fragueiro;MFragueiro;Unitario;6.8;Perdedor;Mantiene;0;0;0;190;0;0;0;0;45;356;0;0;0;591;0;190;45;356;0;0.4;0.6
ARG;5;1854;;1788;66;48;14.52;14.52;0.00;Pedro Ferré;PFerre;Federal;0.97;Perdedor;Alterna;0;0;0;400;126;0;126;0;45;0;0;0;0;697;0;652;45;0;0;1;0
ARG;6;1854;;1785;69;51;20.84;20.06;0.78;Vicente López y Planes;VLopezP;Independiente;0.97;Perdedor;Alterna;130;0;330;200;135;0;168;60;0;0;0;40;0;1063;460;503;60;0;40;0.96;0.04
ARG;7;1854;;1817;37;19;65.58;65.58;0.00;José Maria Paz;JPaz;Unitario;0.97;Perdedor;Mantiene;0;0;0;200;945;0;56;0;45;0;0;0;0;1246;0;1201;45;0;0;1;0
ARG;8;1854;;1812;42;24;16.54;16.54;0.00;Benjamín Virasoro;BVirasoro;Federal;0.97;Perdedor;Alterna;0;0;0;100;252;0;0;0;45;0;0;0;0;397;0;352;45;0;0;1;0
ARG;9;1854;;1794;60;42;8.36;7.98;0.38;Facundo Zuviría;FSuviría;Unitario;0.97;Perdedor;Mantiene;0;0;0;0;108;0;182;0;45;0;0;16;0;351;0;290;45;0;16;0.95;0.05
ARG;10;1860;;1809;51;33;20.21;20.21;0.00;Santiago Derqui;SDerqui;Federal;57.6;Ganador;Mantiene;0;0;330;180;0;0;112;0;45;0;0;0;0;667;330;292;45;0;0;1;0
ARG;11;1860;;1795;65;47;21.74;14.17;7.57;Mariano Fragueiro;MFragueiro;Unitario;36.8;Perdedor;Alterna;0;0;110;290;0;0;126;0;140;356;0;0;0;1022;110;416;140;356;0;0.65;0.35
ARG;12;1860;;1798;62;44;11.18;11.18;0.00;Salvador Maria del Carril;SCarril;Unitario;3.2;Perdedor;Mantiene;0;120;0;200;0;64;63;0;45;0;0;0;0;492;120;327;45;0;0;1;0
ARG;13;1860;;1810;50;32;2.75;2.75;0.00;Juan Bautista Alberdi;JBautistaA;Independiente;1.6;Perdedor;Alterna;0;0;88;0;0;0;0;0;0;0;0;0;0;88;88;0;0;0;0;1;0
ARG;14;1860;;1788;72;54;33.94;33.94;0.00;Tomás Guido;TGuido;Independiente;0.8;Perdedor;Alterna;0;0;715;270;666;0;182;0;0;0;0;0;0;1833;715;1118;0;0;0;1;0
ARG;15;1861;;1796;65;47;43.11;39.74;3.36;Juan Esteban Pedernera;JPederna;Federal;0;De facto;Interino;260;120;0;100;1332;0;56;0;0;0;0;158;0;2026;380;1488;0;0;158;0.92;0.08
ARG;16;1862;;1821;41;23;49.78;46.30;3.48;Bartolomé Mitre;BMitre;Nacionalista;100;Ganador;Alterna;130;0;0;280;486;0;49;0;120;40;0;40;0;1145;130;815;120;40;40;0.93;0.07
ARG;17;1868;;1811;57;39;22.82;17.26;2.69;Domingo Sarmiento;DSarmiento;Independeitne;60.3;Ganador;Alterna;0;0;165;190;234;0;112;84;0;0;105;0;0;890;165;424;84;105;0;0.76;0.12
ARG;18;1868;;1801;67;49;16.33;16.33;0.00;Justo José de Urquiza;JUrquiza;Federal;19.85;Perdedor;Restaura;260;0;110;200;90;0;0;0;140;0;0;0;0;800;370;290;140;0;0;1;0
ARG;19;1868;;1822;46;28;29.00;29.00;0.00;Rufino Jacinto de Elizalde ;RElizalde;Liberal;16.79;Perdedor;Alterna;0;0;220;240;81;64;112;0;95;0;0;0;0;812;220;497;95;0;0;1;0
ARG;20;1868;;1821;47;29;20.38;19.76;0.62;Guillermo Rawson;GRawson;Nacionalista;2.29;Perdedor;Alterna;0;0;297;0;0;0;231;0;45;0;0;18;0;591;297;231;45;0;18;0.97;0.03
ARG;21;1868;;1800;68;50;7.20;6.60;0.60;Dalmacio Vélez Sarsfield;DVelez;Unitario;0.76;Perdedor;Alterna;0;0;110;0;0;0;175;0;45;0;30;0;0;360;110;175;45;30;0;0.92;0.08
ARG;22;1874;;1837;37;19;13.74;13.74;0.00;Nicolás Avellaneda;NAvellaneda;PAN;64.73;Ganador;Mantiene;0;0;110;0;0;0;56;0;95;0;0;0;0;261;110;56;95;0;0;1;0
ARG;23;1874;;1821;53;35;48.17;44.74;3.43;Bartolomé Mitre;BMitre;Nacionalista;35.27;Perdedor;Recupera;260;0;0;280;756;0;105;0;165;80;0;40;0;1686;260;1141;165;80;40;0.93;0.07
ARG;24;1880;;1843;37;19;29.00;29.00;0.00;Julio Argentino Roca;JArgentino;PAN;68.89;Ganador;Mantiene;0;0;110;0;396;0;0;0;45;0;0;0;0;551;110;396;45;0;0;1;0
ARG;25;1880;;1817;63;45;11.29;10.36;0.93;Carlos Tejedor;CTejedero;Independiente;31.11;Perdedor;Alterna;0;0;220;190;0;0;56;0;0;0;42;0;0;508;220;246;0;42;0;0.92;0.08
ARG;26;1886;;1844;42;24;22.04;22.04;0.00;Miguel Juárez Celman;MJuarez;PAN;78.87;Ganador;Mantiene;0;0;190;0;0;0;294;0;45;0;0;0;0;529;190;294;45;0;0;1;0
ARG;27;1886;;1833;53;35;16.83;15.69;1.14;Manuel Anselmo Gregorio Ocampo;MOcampo;PU;15.02;Perdedor;Alterna;0;0;0;0;288;0;56;120;85;40;0;0;0;589;0;344;205;40;0;0.93;0.07
ARG;28;1886;;1822;64;46;15.59;14.02;1.57;Bernardo de Irigoyen;Birigoyen;PU;6.11;Perdedor;Alterna;0;0;550;0;0;0;0;0;95;40;0;32;0;717;550;0;95;40;32;0.9;0.1
ARG;29;1890;;1846;44;26;30.12;30.12;0.00;Carlos Enrique José Pellegrini;CPellegrini;PAN;0;De facto;Interino;0;120;308;0;117;0;168;0;70;0;0;0;0;783;428;285;70;0;0;1;0
