pais,anio,candidato,id_candidato,Ano_nacim,Edad_contienda,Genero,Municipio,Entidad,activo,Partido,Coalición,votos,exito,estrategia,Presidencia (13),Vicepresidencia (12),Secretaría o ministerios (11),Gobernador (10),Militar (9),Ministro de la Suprema Corte o Juez (8),Legislatura (7),Alcalde (6),Partidos Políticos (5),Empresas (4),Sindicatos o sociedad civil (3),Organizaciones religiosas (2),Movimientos revolucionarios o armados (1),presidencia,vicepresidencia,ministerio,gobernatura,ejercito,corte_suprema,legislatura,alcaldia,partido_politico,empresas,soc_civil,mov_rev,org_relig,kb,intra,para,sub,exa,ana,
MEX,2024,Claudia Sheinbaum Pardo,CSheinbaum,1962,62,mujer,Álvaro Obregón,Ciudad de México,si,MORENA,Morena,0,,Mantiene,,,Asesora de la Comisión Nacional de Energia,"2000-06, Secretaria de Medio Ambiente del DF, de AMLO y Alejandro Encinas, 2018-2023, Jefa de Gobierno de la CDMX",,,,"2015-17, Jefa Delegacional en Tlalpan",,,"Investigadora del Instituto de Ingenieria de la UNAM, 2007 Pertenece al Grupo Intergubernamental de Expertos sobre Cambio Climático de la ONU. Integrante del CEU de la UNAM que luego sería el brazo juvenil del PRD",,,0,0,77,280,0,0,0,60,45,0,116,0,0,578,77,280,105,116,0,
MEX,2024,Marcelo Ebrard Casaubon,MEbrard,1959,65,hombre,Coyoacán,Ciudad de México,no,MORENA,Morena,0,,Mantiene,,,"2018-2023, Secretario de Relaciones Exteriores de AMLO","2006-2012, Jefe de Gobierno de la CDMX, 1992-93. Secretario Geneneral del DF, Subsecretario de Relaciones Exteriores 1993-94 bajo el gobierno de Manuel Camacho Solis, 2002-04, Secretario de Seguridad Pública del DF; 2004-05, Secretario de Desarrollo Social del DF durante el gobierno de AMLO",,,"1997-2000, Diputado Federal por el PVEM",,"1988-92, Secretario Genral del PRI en CDMX, Secretario general del PArtido Centro Democrático",,,,,0,0,110,450,0,0,56,0,145,0,0,0,0,761,110,506,145,0,0,
MEX,2024,Santiago Creel Miranda,SCreel,1954,70,hombre,Ciudad de México,Ciudad de México,no,PAN,FAM,0,,Alterna,,,"200-05, Secretario de Gobernación durante el gobierno de Vicente Fox. (Su tatarabuelo Luis Terrazas fue gobernador de Chihuahua y ayudó a Benito Juárez a pelear contra las tropas francesas en la batalla de Chihuahua. Su bisabuelo, Enrique C. Creel fue también gobernador de Chihuahua 2 vecesy fue Secretaro de Relaciones Exteriores de Porfirio Diaz y embajador en EUA durante el gobierno de Francisco León de la Barra) 1994-96, Cibseheri General Ciudadano entonces IFE",,,,"2021, Diputado Federal y Presidente de la Cámara de diputados, 2006-11, Senador y Presidente del Senado, Diputado Constituyente de la CDMX, 1997 diputado plurinominal por el PAN",,,"Integrante en consejos de administración que cotizan en la BMV,","Partició en el GRupo San angel en 1994, grupo de lintelectuales, lideres sociales y legisladores tipo Think Tank",,,0,0,198,0,0,0,364,0,45,108,32,0,0,747,198,364,45,140,0,
MEX,2024,Luis Donaldo Colosio Riojas,LDColosio,1985,39,hombre,Magdalena de Kino,Sonora,no,MC,MC,0,,Alterna,,,Hijo del candidato del PRI Luis Donaldo Colosio,,,,"2018-21, Diputado del congreso de Nuevo León","2021-2024, Alcalde de Monterrey",,,,,,0,0,0,0,0,0,42,60,45,0,0,0,0,147,0,42,105,0,0,
MEX,2024,Adan Augusto López,AAugustoL,1963,61,hombre,Paraíso,Tabasco,no,MORENA,Morena,0,,Mantiene,,,"2021, Secretario de Gobernación de AMLO","2019-2021, Gobernador de Tabasco; 1992, subsecretario de Desarrollo Político y Protección Civil y, al año siguiente, funge como subsecretario de Gobierno y Asuntos Jurídicos del estado de Tabasco",,"1992, presidente de la Junta Local de Conciliación y Arbitraje del Estado de Tabasco, notario Público","Diputado local en Tabasco (2007-2009), Diputado Federal (2009-2012), Senador (2012-2018) por Tabasco",,"Militante del PRI, 1985, Apoya a Cuautémoc Cárdenas en el FDN, 2000, coordinador de Campaña de Manuel Andrade Díaz quien sería electo gobernador de Tabasco por el PRI, 2001, sue une al PRD y es candidato a presidente municipal de Tabasco; 2014 se une a Morena y en 2016 es Presidente esttal de Morena",,,,,0,0,110,280,0,120,161,0,85,0,0,0,,756,110,561,85,0,0,
MEX,2024,Ricardo Monreal,RMorneal,1960,64,hombre,Fresnillo,Zacatecas,no,MORENA,Morena,0,,Mantiene,,,,"1998-2004, gobernador de Zacatecas",,,"1991-97, 2017, Senador y presidente de la Junta de coordinación Política; 1988-1991, 1997, 2012-2015, diputado federal por el PRI, PRD, MC y Morena","2014-2017, Alcalde de Cuauhtémoc, CDMX","Presidente del PRI en Zacatecas, y secretario de accion política del la CNC del PRI, diputado por PRD, MC y Morena. 2012, coordinador de campaña de AMlo",,,,,0,0,0,100,0,0,343,60,135,0,0,0,0,638,0,443,195,0,0,
MEX,2024,Gerardo Fernández Noroña,GFernandezN,1960,64,hombre,Cuauhtémoc,Ciudad de México,no,PT,Morena,0,,Mantiene,,,,,,,"2009-12, 2018 diputado Federal",,"Fundador del PRD, secretario de Comunicacion del PRD",,"1995, fundador de la Asamblea Ciudadana en Defensa de los Deudores de la Banca, ha realizado protestas contra la globalización en Cancún y ante la Torre Trump; dirigente de la Asamblea Nacional por la Independencia de México (ÁNIMO)",,,0,0,0,0,0,0,112,0,90,0,90,0,0,292,0,112,90,90,0,
MEX,2024,Ricardo Anaya Cortés,RAnaya,1979,45,hombre,Naucalpan,Estado de México,no,PAN,FAM,0,,Alterna,,,"2011, Subsecretario de Planeación Turística de la Sria de Turismo.","2003-09, secretario particular del gobernador de Querétaro. ",,,"2012-15, Diputado Federal, 2013-14, Presidente de la Cámara de Diputados, 2010-11, Diputado local en Querétaro",,"2015-17, Presidente del PAN",,,,,0,0,99,90,0,0,168,0,50,0,0,0,0,407,99,258,50,0,0,
MEX,2024,Alejandro Moreno Cárdenas,AMorenoC,1975,49,hombre,Campeche,Campeche,no,PRI,FAM,0,,Recupera,,,,"2015-19, gobernador de Campeche",,,"2003,2012 diputado Federal por Campeche, 2006 Senador","2002, síndico de asuntos jurídicos del Ayuntamiento de Campeche.","En el PRI ha sido Consejero Político Estatal del PRI, Consejero Político Municipal del PRI, Presidente del Comité Directivo Municipal (CDM) de Juventud Popular Revolucionaria de la CNOP, Presidente del Comité Directivo Estatal (CDE) de Juventud Popular de la CNOP y Presidente del CDM del Frente Juvenil Revolucionario en Campeche estos cargos a nivel local. Presidente del CEN del PRI, Secretario de organización del Comité Ejecutivo Nacional (CEN) del Frente Juvenil Revolucionario y Coordinador Nacional del Frente Juvenil Revolucionario del PRI.4, 2019 Presidencia de la Conferencia Permanente de Partidos Políticos de América Latina y el Caribe (COPPPAL)","Dueño de diario El Sur, Novedades, el Expreso de Campeche y del canal maya visión junto con su hermano Gabriel",,,,0,0,0,100,0,0,168,42,400,160,0,0,0,870,0,268,442,160,0,
MEX,2024,Enrique Alfaro,EAlfaro,1973,51,hombre,Guadalajara,Jalisco,no,MC,MC,0,,Alterna,,,,"2018, Gobernador de Jalisco",,,"2007, Diputado local en Jalisco","2015-17, presidente municipal de Guadalajara, 2010, Presidente Municipal de Tlajomulco, Jal , 2003 regidor del Mpio de Tlajomulco",alcalde por el PRI y se unió al PRD,,"Es hijo de Enrique Alfaro Anguiano, exrector de la Universidad de Guadalajara, ",,,0,0,0,100,0,0,49,174,120,0,0,0,0,443,0,149,294,0,0,
MEX,2024,Claudia Ruiz Massieu Salinas,CRuizMassieu,,2024,mujer,,,no,PRI,FAM,0,,Recupera,Sobrina del expresidente Carlos Salinas de Gortari e hija de Francisco Ruiz Massieu presidente del PRI,,"2015-17, Secretaria de Relaciones Exteriores, 2012-15 Secretaria de Turismo de Enrique Peña; 2007 fue nombrada como coordinadora general de Planeación, Desarrollo e Innovación Institucional de la Procuraduría General de la República, 2006 fue coordinadora de Asesores del Secretariado Ejecutivo del Sistema Nacional de Seguridad de la Secretaría de Seguridad Pública Federal.",,,,"2019, Senadora, 2003-06, 2009-12, diputada Federal",,"2018, presidene del PRI, 2017 Secretaria general del PRI",,,,,0,0,396,0,0,0,168,0,100,0,0,0,0,664,396,168,100,0,0,
MEX,2024,Beatriz Paredes Rangel,BParedesR,1953,71,mujer,Tlaxcala,Tlaxcala,no,PRI,FAM,0,,Recupera,,,"2012-16, Embajadora en Brasil por Enrique Peña, subsecretaria de gobernación x3 y subsecretaria de la Reforma Agraria, Embajadora en Cuba ","1987, Goberadora de Tlaxcala",,,"1994, 2018 Senadora , 2000,2009 diputada Federal, 1979,1985 duiputada federal por Tlaxcala, 1979,85 2001 presidente de la Cámara de Diputados, y presidenta del Parlatino",,"2007-11, Presidente del PRI, dirigente del CNC del PRI",,"Ordem do Cruzeiro do Sul, otorgada por el Gobierno de Brasil.
Orden de la Solidaridad, otorgada por el Gobierno de la República de Cuba.
Orden de Isabel la Católica, otorgada por el Gobierno de España.
Condecoración del Congreso de Guatemala
“Mujer que hace la diferencia”, otorgado por el International Women’s Forum.
""Mujer Hispana"", otorgada por la Fundación México-Americana.
""Mujer en el Desarrollo Rural"", otorgada por el Instituto Interamericano de Cooperación para la Agricultura.
""Mujer del Año"", otorgada por el Patronato Nacional de la Mujer del Año.
""Medalla Rosario Castellanos"", otorgada por el Congreso de Chiapas.",,,0,0,572,100,0,0,546,0,95,0,0,0,0,1313,572,646,95,0,0,
MEX,2024,Ildefonso Guajardo Villareal,IGuajardo,,2024,hombre,,,no,PRI,FAM,0,,Recupera,,,"2012-18, Secretario de Economía de Enrique Peña, años ochenta fue director de finanzas públicas y de política macroeconómica de la Secretaría de Programación y Presupuesto, oficial mayor de la Secretaría de Relaciones Exteriores y subsecretario de desarrollo turístico de la Secretaría de Turismo.16​","2003, jefe de ocivina del gobernador de Nuevo León natividad González Parás",,,"2000,2021 Diputado Federal, 2009 diptado federal por Nuevo León, 2006-09, diputado local en el congerso de nuevo León",,,2023 presidente de Ansley Consultores Internacionales,"2015 con la Gran Cruz de la Orden de Isabel la Católica por parte del Gobierno de España, ",,,0,0,385,90,0,0,217,0,0,40,0,0,0,732,385,307,0,40,0,
