Source,Target,Type,Id,Label,Weight
2,15,Directed,e1,,1
2,29,Directed,e2,,1
2,32,Directed,e3,,1
2,34,Directed,e4,,1
2,35,Directed,e5,,1
2,36,Directed,e6,,1
2,37,Directed,e7,,1
2,45,Directed,e8,,1
2,65,Directed,e9,,1
4,17,Directed,e10,,2
4,23,Directed,e11,,1
4,26,Directed,e12,,1
4,43,Directed,e13,,1
4,44,Directed,e14,,1
4,45,Directed,e15,,1
4,151,Directed,e16,,1
4,152,Directed,e17,,1
5,18,Directed,e18,,1
5,26,Directed,e19,,1
5,43,Directed,e20,,1
5,44,Directed,e21,,1
5,64,Directed,e22,,1
5,70,Directed,e23,,1
5,134,Directed,e24,,1
5,144,Directed,e25,,1
5,155,Directed,e26,,1
7,18,Directed,e27,,1
7,26,Directed,e28,,1
7,39,Directed,e29,,1
7,43,Directed,e30,,1
7,44,Directed,e31,,1
7,46,Directed,e32,,1
7,71,Directed,e33,,1
7,94,Directed,e34,,1
9,20,Directed,e35,,1
9,26,Directed,e36,,1
9,27,Directed,e37,,1
9,29,Directed,e38,,1
9,31,Directed,e39,,1
9,39,Directed,e40,,1
9,49,Directed,e41,,1
9,51,Directed,e42,,1
9,52,Directed,e43,,1
9,72,Directed,e44,,1
9,73,Directed,e45,,1
9,74,Directed,e46,,1
9,88,Directed,e47,,1
9,144,Directed,e48,,1
9,146,Directed,e49,,1
9,156,Directed,e50,,1
10,21,Directed,e51,,1
10,26,Directed,e52,,1
10,39,Directed,e53,,1
10,53,Directed,e54,,1
10,71,Directed,e55,,1
10,126,Directed,e56,,1
11,22,Directed,e57,,1
11,26,Directed,e58,,1
11,29,Directed,e59,,1
11,31,Directed,e60,,1
11,39,Directed,e61,,1
11,53,Directed,e62,,1
11,55,Directed,e63,,1
11,56,Directed,e64,,1
11,73,Directed,e65,,1
11,75,Directed,e66,,1
11,158,Directed,e67,,1
15,132,Directed,e68,,1
16,86,Directed,e69,,1
16,136,Directed,e70,,1
17,111,Directed,e71,,1
17,146,Directed,e72,,1
17,154,Directed,e73,,1
20,146,Directed,e74,,1
23,17,Directed,e75,,1
24,17,Directed,e76,,1
25,19,Directed,e77,,1
26,29,Directed,e78,,1
27,14,Directed,e79,,1
28,19,Directed,e80,,1
30,22,Directed,e81,,1
31,33,Directed,e82,,1
31,37,Directed,e83,,1
31,51,Directed,e84,,1
31,118,Directed,e85,,1
31,158,Directed,e86,,1
32,37,Directed,e87,,1
32,57,Directed,e88,,1
35,34,Directed,e89,,1
36,26,Directed,e90,,1
36,34,Directed,e91,,1
38,31,Directed,e92,,1
39,26,Directed,e93,,1
40,16,Directed,e94,,1
41,17,Directed,e95,,1
42,30,Directed,e96,,1
42,41,Directed,e97,,1
43,17,Directed,e98,,1
44,43,Directed,e99,,1
45,22,Directed,e100,,1
46,18,Directed,e101,,1
46,137,Directed,e102,,1
47,22,Directed,e103,,1
48,24,Directed,e104,,1
49,18,Directed,e105,,1
53,47,Directed,e106,,1
54,21,Directed,e107,,1
