Id,Label,d1,d2,d5,d6,d7,weighted indegree,weighted outdegree,weighted degree
9,JVegaD,0.516072,0.504428,circle,darkblue,8,0,16,16
2,EOlivaresS,0.60963,0.5,circle,darkblue,8,0,9,9
5,CTelloM,0.639003,0.519004,circle,darkblue,8,1,9,10
10,EMujicaM,0.630282,0.545126,circle,darkblue,8,0,6,6
88,CSalinasG,0.381777,0.471567,circle,darkblue,8,10,10,20
91,PAspeA,0.388598,0.449276,circle,darkblue,8,1,8,9
93,JRogosinski,0.378988,0.426508,circle,darkblue,8,0,6,6
98,ADelMazoG,0.398654,0.394375,circle,darkblue,8,1,8,9
109,DDiazD,0.425587,0.310073,circle,darkblue,8,0,5,5
110,AFarellC,0.427573,0.295843,circle,darkblue,8,0,6,6
114,JCordobaM,0.452324,0.311707,circle,darkblue,7,0,7,7
117,SOnateL,0.473264,0.334656,circle,darkblue,7,0,7,7
126,MCamachoS,0.514413,0.340016,circle,darkblue,7,4,11,15
128,ELozoyaT,0.528267,0.307858,circle,darkblue,7,3,7,10
134,MTelloM,0.568397,0.296991,circle,darkblue,7,1,9,10
147,ACasoL,0.626067,0.386419,circle,darkblue,7,0,9,9
16,SRE,0.749852,0.661608,triangle,darkblue,8,19,2,21
17,SHCP,0.725983,0.664521,triangle,darkblue,8,12,3,15
20,SECOFI,0.736056,0.734606,triangle,darkblue,8,4,1,5
23,Banxico,0.697898,0.758761,triangle,darkblue,8,2,1,3
24,Nafinsa,0.692826,0.7752,triangle,darkblue,8,3,1,4
25,PEMEX,0.698487,0.808973,triangle,darkblue,8,1,1,2
26,PRI,0.689795,0.822213,triangle,darkblue,8,29,1,30
27,Of_PresidMx,0.680747,0.834848,triangle,darkblue,8,6,1,7
28,CFE,0.671359,0.846855,triangle,darkblue,8,4,1,5
30,IMSS,0.651637,0.868893,triangle,darkblue,8,4,1,5
31,Diputado,0.622995,0.829706,triangle,darkblue,8,5,5,10
32,Senador,0.616632,0.846178,triangle,darkblue,8,2,2,4
35,Dip_Ags,0.597697,0.911564,triangle,darkblue,8,1,1,2
36,PRI_Ags,0.582077,0.8975,triangle,darkblue,8,1,2,3
38,Pres_Diputados,0.557861,0.893298,circle,darkblue,8,0,1,1
39,IEPES,0.550298,0.924904,triangle,darkblue,8,12,1,13
40,SExtMx,0.537918,0.920876,triangle,darkblue,8,2,1,3
41,Banobras,0.525047,0.902965,triangle,darkblue,8,2,1,3
42,AOrtizM,0.513301,0.886026,circle,darkblue,8,2,2,4
43,Subs_SHCP,0.502812,0.908428,triangle,darkblue,8,7,1,8
44,DG_SHCP,0.491443,0.914173,triangle,darkblue,8,9,1,10
45,Infonavit,0.478848,0.938078,triangle,darkblue,8,4,1,5
46,Subs_SPP,0.467886,0.92207,triangle,darkblue,8,9,2,11
47,Subs_STPS,0.454831,0.933553,triangle,darkblue,8,2,1,3
48,Subd_Nafinsa,0.446549,0.902854,triangle,darkblue,8,0,1,1
49,Conasupo,0.431153,0.925773,triangle,darkblue,8,2,1,3
53,DG_STPS,0.387378,0.894208,triangle,darkblue,8,2,1,3
54,Subs_SCT,0.374597,0.89253,triangle,darkblue,8,4,1,5
55,DG_SCT,0.366117,0.877389,triangle,darkblue,8,5,1,6
57,XLIX,0.361114,0.822338,circle,darkblue,8,1,2,3
60,Subs_SEP,0.314685,0.828608,triangle,darkblue,8,0,1,1
61,Emb_Japon,0.312114,0.805424,triangle,darkblue,8,0,1,1
62,Subs_SECOFI,0.300594,0.797232,triangle,darkblue,8,1,1,2
63,DG_SECOM,0.294879,0.780245,triangle,darkblue,8,0,1,1
64,Emb_URSS,0.288539,0.764521,triangle,darkblue,8,1,1,2
65,Banpeco,0.291839,0.737987,diamond,darkblue,8,1,1,2
66,EMb_Francia,0.274783,0.734726,triangle,darkblue,8,1,1,2
67,Emb_Egipto,0.268533,0.719154,triangle,darkblue,8,0,1,1
68,Emb_ONU,0.262717,0.70317,triangle,darkblue,8,1,1,2
69,Emb_Suiza,0.257347,0.686804,triangle,darkblue,8,0,1,1
70,CNC,0.248281,0.67294,circle,darkblue,8,1,1,2
71,Gob_DDF,0.23953,0.658186,triangle,darkblue,8,3,1,4
72,Emb_Canada,0.252591,0.631178,triangle,darkblue,8,1,2,3
73,PNAlimentacion,0.231807,0.622115,circle,darkblue,8,2,1,3
76,Emb_EUA,0.232965,0.564223,triangle,darkblue,8,1,1,2
82,CNOP,0.225915,0.528073,circle,darkblue,8,0,1,1
83,Subs_SRE,0.229928,0.509209,triangle,darkblue,8,1,1,2
84,DG_SRE,0.231438,0.490842,triangle,darkblue,8,1,1,2
89,DG_SPP,0.234984,0.417635,triangle,darkblue,8,3,1,4
90,GabEconomico,0.228697,0.396281,circle,darkblue,8,1,1,2
92,INEGI,0.256168,0.370719,triangle,darkblue,8,1,1,2
94,Lotenal,0.264194,0.337993,triangle,darkblue,8,2,1,3
100,Emb_Belgica,0.288539,0.235479,triangle,darkblue,8,1,1,2
101,FHiriartB,0.330224,0.268045,circle,darkblue,8,0,7,7
102,ISSSTE,0.297306,0.197866,triangle,darkblue,8,2,1,3
103,Subs_SEMIP,0.305813,0.184333,triangle,darkblue,8,2,1,3
104,Subd_CFE,0.317692,0.176723,triangle,darkblue,8,1,1,2
106,Subd_Nafinsa,0.335048,0.180641,triangle,darkblue,8,0,1,1
107,RFelixV,0.349669,0.181711,circle,darkblue,8,0,4,4
111,GOrtizM,0.388161,0.149928,circle,darkblue,8,2,3,5
113,DG_SEMIP,0.387378,0.105792,triangle,darkblue,8,0,1,1
115,Capufe,0.407992,0.085202,triangle,darkblue,7,1,1,2
119,Emb_OEA,0.456297,0.080516,triangle,darkblue,7,2,1,3
123,JCarpizo,0.502926,0.074941,circle,darkblue,7,0,2,2
135,Emb_RUnido,0.636754,0.133411,triangle,darkblue,7,3,1,4
138,RGascaN,0.637997,0.220675,circle,darkblue,7,0,4,4
139,PChirinosC,0.654354,0.214046,circle,darkblue,7,0,5,5
141,LColosioM,0.658769,0.252853,circle,darkblue,7,0,5,5
142,Subs_SEDESOL,0.706806,0.204847,triangle,darkblue,7,1,1,2
143,DG_SEDESOL,0.711253,0.223777,triangle,darkblue,7,1,1,2
144,Solidaridad,0.707841,0.251377,circle,darkblue,7,3,2,5
145,JSerraP,0.702085,0.279325,circle,darkblue,7,0,3,3
148,Ferrenales,0.748074,0.298426,triangle,darkblue,7,1,1,2
149,EGamboaP,0.704057,0.351442,circle,darkblue,7,0,5,5
150,MGomezP,0.758231,0.332972,circle,darkblue,7,0,1,1
151,Emb_Espana,0.754066,0.355575,triangle,darkblue,7,1,1,2
153,UDesincorporacion,0.748654,0.395914,triangle,darkblue,7,1,1,2
155,Emb_Portugal,0.766088,0.426689,triangle,darkblue,7,1,1,2
14,PresidenciaMx,0.775095,0.635487,triangle,darkblue,8,4,0,4
18,SPP,0.756124,0.708115,triangle,darkblue,8,9,0,9
19,SEMIP,0.750155,0.725378,triangle,darkblue,8,8,0,8
21,SCT,0.736819,0.758605,triangle,darkblue,8,8,0,8
22,STPS,0.729477,0.774505,triangle,darkblue,8,9,0,9
29,CEN_PRI,0.666896,0.869834,triangle,darkblue,8,8,0,8
33,XLV,0.623862,0.909586,circle,darkblue,8,1,0,1
34,Gob_Ags,0.61247,0.917644,triangle,darkblue,8,3,0,3
37,XLVIII,0.577116,0.937063,circle,darkblue,8,4,0,4
50,SEP,0.416885,0.934331,triangle,darkblue,8,4,0,4
51,XLVI,0.405006,0.928258,circle,darkblue,8,2,0,2
52,Gob_Chiapas,0.393306,0.92138,triangle,darkblue,8,3,0,3
56,PGR,0.348722,0.886111,triangle,darkblue,8,2,0,2
75,SPesca,0.217208,0.58789,triangle,darkblue,8,1,0,1
86,GpoContadora,0.213435,0.450958,box,darkblue,8,2,0,2
96,Gob_Sinaloa,0.246801,0.283203,triangle,darkblue,8,1,0,1
99,Gob_Edomex,0.266797,0.233383,triangle,darkblue,8,1,0,1
108,Gob_Sonora,0.338235,0.124563,triangle,darkblue,8,1,0,1
116,BID,0.416885,0.065669,diamond,darkblue,7,1,0,1
118,LIII,0.441087,0.055978,circle,darkblue,7,2,0,2
121,Gob_Veracruz,0.478162,0.047707,triangle,darkblue,7,2,0,2
124,SCJN,0.515606,0.047069,triangle,darkblue,7,1,0,1
131,SEDUE,0.600868,0.075081,triangle,darkblue,7,2,0,2
136,OCDE,0.656558,0.119137,diamond,darkblue,7,2,0,2
137,Ficorca,0.666896,0.130166,diamond,darkblue,7,2,0,2
140,SEDESOL,0.695954,0.167331,triangle,darkblue,7,4,0,4
146,TLCAN,0.743715,0.257781,diamond,darkblue,7,6,0,6
152,SECTUR,0.775095,0.364512,triangle,darkblue,7,1,0,1
154,FMI,0.781515,0.40249,diamond,darkblue,7,2,0,2
156,SARH,0.785822,0.4412,triangle,darkblue,7,1,0,1
157,157,0.787173,0.460738,triangle,darkblue,7,0,0,0
158,LV,0.787984,0.480351,circle,darkblue,7,2,0,2
4,JSilvaHerzog,0.679371,0.512239,circle,darkblue,8,0,9,9
7,RAguirreV,0.684762,0.53801,circle,darkblue,8,0,8,8
11,POjedaP,0.6487,0.562246,circle,darkblue,8,0,11,11
15,SEGOB,0.686804,0.60619,triangle,darkblue,8,6,1,7
58,AFS,0.373558,0.767709,triangle,darkblue,8,2,1,3
59,Subs_SEGOB,0.366308,0.758838,triangle,darkblue,8,2,1,3
74,FLabastidaO,0.322161,0.567988,circle,darkblue,8,1,7,8
77,MBarttletD,0.341213,0.527175,circle,darkblue,8,0,6,6
85,BSepulvedaA,0.326414,0.48222,circle,darkblue,8,0,9,9
95,EZedilloP,0.326519,0.366447,circle,darkblue,8,0,8,8
97,ADelMazoV,0.350171,0.358142,circle,darkblue,8,0,1,1
120,FGutierrezB,0.480725,0.246667,circle,darkblue,7,0,6,6
122,PGonzalezG,0.494437,0.230744,circle,darkblue,7,0,3,3
125,FSolanaM,0.520564,0.169159,circle,darkblue,7,0,7,7
127,RSalinasG,0.529034,0.254723,circle,darkblue,7,3,3,6
129,MVelascoS,0.550914,0.211438,circle,darkblue,7,0,2,2
130,GVelasco,0.554054,0.238213,circle,darkblue,7,2,1,3
132,COCOPA,0.567662,0.248746,circle,darkblue,7,2,1,3
133,EZLN,0.586643,0.213489,box,darkblue,7,1,1,2
